order,k,time
k_heapsort,50000,0.395582914352
k_heapsort,99999,0.682583093643
k_selection,0,0.0166699886322
k_selection,50000,760.11037302
k_selection,99999,1285.85579419
heap select,0,0.0365681648254
heap select,50000,0.3356320858
heap select,99999,0.14889216423
fuerza bruta,0,221.129821062
fuerza bruta,50000,204.49115181
fuerza bruta,99999,246.931097984
quick_select,0,0.0959501266479
quick_select,50000,0.125393867493
quick_select,99999,0.0467779636383
